run_id,rank,class_id,class_name,confidence,x1,y1,x2,y2,width,height,area
"f061a440-933d-4d85-a5c3-b571374ec48d",0,3,"miner",0.962105,112.693359,110.345154,401.582397,533.882751,288.889038,423.537598,122355.367188
"4fbb06f6-d970-41e4-afc9-2e67802a0717",0,1,"brown_eye_spot",0.976078,163.817230,59.546677,463.340027,442.730560,299.522797,383.183899,114772.312500
"c41a523a-6dfe-46ed-8240-f8978e1763fe",0,0,"algal_spot",0.971541,196.984238,101.469543,567.751953,530.641418,370.767700,429.171875,159123.062500
"03ad0aa6-cf97-43d1-acfe-ce9961d4c919",0,2,"healthy",0.973181,60.872803,91.358780,592.359680,515.351868,531.486877,423.993103,225346.765625
"23c227dc-3593-435d-9a36-86cf22400b44",0,2,"healthy",0.966060,53.038269,113.600189,581.818909,553.616089,528.780640,440.015900,232671.890625
"f44968fb-f751-4172-afdc-cbb723574443",0,3,"miner",0.953585,71.012329,125.223251,634.534790,382.818237,563.522461,257.594971,145160.546875
"ec477720-f8f5-4f0e-89e8-a307f31cc78c",0,0,"algal_spot",0.948775,70.059509,384.264343,473.342621,581.321655,403.283112,197.057312,79469.882813
"ec477720-f8f5-4f0e-89e8-a307f31cc78c",1,0,"algal_spot",0.941085,174.339432,64.595642,440.716797,372.500427,266.377380,307.904785,82018.867188
"aa0b36e5-23a6-45d3-9b1f-648ab10910e8",0,3,"miner",0.979027,52.662476,225.395752,639.000000,508.345520,586.337524,282.949768,165904.062500
"63044dc6-1ef9-49eb-ad55-90fff9772ecd",0,1,"brown_eye_spot",0.979881,147.405441,58.083801,547.992554,546.677673,400.587097,488.593872,195724.406250
"fa1c4ee0-d170-4344-b578-60501b50f13e",0,2,"healthy",0.963071,23.008606,135.116562,600.062134,533.530640,577.053528,398.414063,229906.234375
"8a8a7f98-73c2-49e6-8d72-c9a077bb3601",0,0,"algal_spot",0.967236,137.527313,130.195053,452.567749,486.304016,315.040436,356.108948,112188.718750
"ad965fff-bf27-4c49-862c-f51749fcf8e2",0,4,"phoma",0.953243,86.346619,117.248108,536.531372,521.136169,450.184753,403.888062,181824.250000
"97d3d1ec-e2be-4707-9e31-639bed0467e5",0,4,"phoma",0.979657,109.930954,101.105331,573.764099,516.619507,463.833130,415.514160,192729.234375
"2e09549d-7fc5-4010-b975-284d00faab99",0,1,"brown_eye_spot",0.871016,167.036346,100.819489,487.183014,494.484375,320.146667,393.664886,126030.500000
"d41a7dba-d7f2-480f-99bd-270f5b16f099",0,3,"miner",0.961113,157.977631,264.237976,496.394257,574.258179,338.416626,310.020203,104915.992188
"2e9baece-bfe0-4dab-857f-8c6279eabc9c",0,4,"phoma",0.954449,79.508575,97.018677,541.337769,555.778381,461.829193,458.759705,211868.625000
"20610051-ad43-449a-b1be-675e00ad328b",0,0,"algal_spot",0.651447,62.985123,149.592468,334.418823,410.132507,271.433716,260.540039,70719.351563
"9207934c-5a71-4e3b-ae5d-fe9570a25f83",0,0,"algal_spot",0.967776,175.619965,63.795288,475.698425,501.325775,300.078461,437.530487,131293.468750
"91d2b979-692e-4b7b-936e-9aa3f15c6ef5",0,4,"phoma",0.968619,58.137909,134.265320,584.466187,512.892822,526.328247,378.627502,199282.343750
"c7b5cc25-b63e-4898-83cf-4acf37b57fc8",0,1,"brown_eye_spot",0.981135,105.983719,236.719482,340.552765,574.771606,234.569046,338.052124,79296.562500
"c7b5cc25-b63e-4898-83cf-4acf37b57fc8",1,1,"brown_eye_spot",0.968168,342.302246,221.459167,603.503845,457.919891,261.201599,236.460724,61763.917969
"7cedf514-6a84-4d7e-9019-25120cbe4c25",0,4,"phoma",0.954941,71.154541,211.316284,582.369263,519.758972,511.214722,308.442688,157680.437500
"90854c05-36cf-4b3d-b78c-888d9cffc3f1",0,1,"brown_eye_spot",0.369526,173.823288,133.710297,519.272217,552.887817,345.448914,419.177521,144804.421875
"3eb4ddba-3ab3-4b85-87c7-0a8f383d33b6",0,4,"phoma",0.971733,76.558533,99.553650,588.065857,558.933899,511.507324,459.380249,234976.359375
"87298c29-e72c-47ef-bf30-4bb79747b257",0,0,"algal_spot",0.965673,132.308029,88.955170,489.008850,588.285095,356.700806,499.329926,178111.390625
"46732b79-3b63-4747-b5cd-dfa6fb86014b",0,0,"algal_spot",0.965704,103.385056,78.274780,531.094238,635.104919,427.709167,556.830139,238161.359375
"6969a004-9940-4462-9acb-65f8ff87fcc8",0,4,"phoma",0.966791,138.755783,118.900360,551.572327,526.212158,412.816528,407.311798,168145.046875
"60a5edcd-731a-49ea-88fd-083993e1cb6e",0,3,"miner",0.946790,77.152466,107.760925,573.625610,455.396637,496.473145,347.635712,172591.796875
"b085c7cb-eabc-4cf3-a411-405499016afc",0,3,"miner",0.977306,210.807190,91.907288,594.766357,554.610840,383.959167,462.703552,177659.265625
"a5779ad6-1a68-48f2-ba73-a87d2f8753f8",0,5,"powdery_mildew",0.946559,108.469147,97.177444,404.270844,546.763794,295.801697,449.586365,132988.406250
"d8e39dfd-302a-4627-98d5-608cada5af8f",0,4,"phoma",0.926353,74.945496,65.037704,576.918457,604.230042,501.972961,539.192322,270659.968750
"e5f27cce-e17c-4d28-a38c-30eb731c87e7",0,0,"algal_spot",0.969227,209.796906,155.829376,485.930725,485.742371,276.133820,329.912994,91100.132813
"37af95dc-8416-4cd2-a9ef-6ecc59d6c7ea",0,4,"phoma",0.972125,80.630798,72.918762,601.585815,546.404663,520.955017,473.485901,246664.859375
"b30ac30b-9b98-4ffa-92a3-9f63ff3c5c2f",0,3,"miner",0.964233,110.292099,135.370453,386.027954,621.797241,275.735840,486.426788,134125.296875
"25c2b068-7e95-4d0b-a463-e5f6fc5397fb",0,4,"phoma",0.966203,53.928772,147.915161,586.231567,535.002563,532.302795,387.087402,206047.703125
"6f15d8ba-f1ab-412f-b539-1a1b7e2ddd0c",0,4,"phoma",0.943417,2.974487,158.345886,562.972778,542.375793,559.998291,384.029907,215056.093750
"afb7a208-c3c7-4131-9e30-c711bc5b92be",0,3,"miner",0.952420,70.484924,176.772308,595.041870,468.603912,524.556946,291.831604,153082.296875
"71c0b3b0-c0f6-46e3-9fdb-5e500ce23919",0,3,"miner",0.899587,10.323425,142.951843,567.895264,581.964966,557.571838,439.013123,244781.359375
"5202db9f-0542-499f-b842-8ea0ac26c298",0,4,"phoma",0.972039,122.857620,129.147598,553.800903,508.697510,430.943298,379.549927,163564.500000
"48ef7f6d-5e31-48b9-bf74-fedad74e6356",0,0,"algal_spot",0.964339,165.390594,189.774445,500.139221,554.811768,334.748627,365.037323,122195.742188
"e1e563c4-19e3-4dcc-a5cf-cdeb3522d3e6",0,0,"algal_spot",0.975435,83.280807,90.368652,448.256134,549.259949,364.975342,458.891296,167484.000000
"a555a0e4-72bd-4fa6-9f63-179a78e7a47c",0,3,"miner",0.893618,24.624329,202.612900,571.336548,460.924225,546.712219,258.311340,141221.968750
"a3ff8e09-819d-45f5-a4ae-b0f3e06a4365",0,5,"powdery_mildew",0.853949,73.819397,191.622391,639.000000,408.622253,565.180603,216.999863,122644.109375
"a3ff8e09-819d-45f5-a4ae-b0f3e06a4365",1,5,"powdery_mildew",0.496737,329.956726,319.997284,639.000000,507.894470,309.043274,187.897186,58068.363281
"a3ff8e09-819d-45f5-a4ae-b0f3e06a4365",2,5,"powdery_mildew",0.421068,0.000000,0.000000,209.823273,276.428650,209.823273,276.428650,58001.164063
"9df5fe39-1ed0-4f8f-a123-d194c5718ad3",0,0,"algal_spot",0.965446,11.430389,124.245880,574.305908,514.706299,562.875488,390.460419,219780.593750
"f11b808b-76b4-4bc0-93a9-0634320f3d94",0,4,"phoma",0.957520,57.329529,113.115646,573.143433,498.447205,515.813904,385.331543,198759.375000
