phone,model_id,model,n,total_ms_mean,total_ms_ci95_low,total_ms_ci95_high,total_ms_median,total_ms_p95,total_ms_p99,total_ms_max,inference_ms_mean,inference_ms_ci95_low,inference_ms_ci95_high,inference_ms_median,inference_ms_p95,inference_ms_p99,inference_ms_max,preprocess_ms_mean,preprocess_ms_ci95_low,preprocess_ms_ci95_high,preprocess_ms_median,preprocess_ms_p95,preprocess_ms_p99,preprocess_ms_max,postprocess_ms_mean,postprocess_ms_ci95_low,postprocess_ms_ci95_high,postprocess_ms_median,postprocess_ms_p95,postprocess_ms_p99,postprocess_ms_max,under_200_rate,under_100_rate,precision_mean,recall_mean,mean_iou_mean
23127PN0CC,01_yolo26n_base,Base,200,75.40251896,74.66156421788818,76.1434737021118,74.4241925,78.9296066,98.8129655199999,129.616094,66.296064575,65.74317833415154,66.84895081584847,65.48575500000001,70.0381138,87.58301285999998,100.560886,6.524578904999999,6.2247268993935485,6.82443091060645,6.3863544999999995,6.7414505,6.969264309999998,36.589011,0.21562158,0.1989470042954238,0.2322961557045762,0.20367200000000002,0.42012494999999994,0.4658986799999996,1.019583,1.0,0.99,0.98,0.989166665,0.9622444450000001
23127PN0CC,02_yolo26n_edgelite,EdgeLite,200,68.54056845,68.21694613692274,68.86419076307725,68.013984,71.93762774999998,75.86416084999995,88.018386,59.535897375,59.24068584905937,59.83110890094063,58.945702499999996,63.25748444999998,67.14001674999994,72.444062,6.501864315000001,6.439009041439816,6.564719588560186,6.4755985,6.81195815,6.885208199999999,12.297761,0.125412985,0.12339107235869186,0.12743489764130814,0.121302,0.1484738999999999,0.17522877999999997,0.253959,1.0,1.0,0.95166667,0.9825,0.9388692249999999
23127PN0CC,03_yolo26n_edgelite_simam,EdgeLite+SimAM,200,68.578711975,68.24459598280835,68.91282796719166,68.0838545,71.2499069,76.01769931999992,90.240833,59.731501824999995,59.40300053890718,60.06000311109281,59.326770999999994,62.3055208,66.67731134999993,81.55823,6.3886226399999995,6.355865704152436,6.421379575847563,6.440156,6.6968330499999995,6.819429689999999,6.999427,0.12452946499999999,0.12283339339198074,0.12622553660801925,0.1214325,0.14171805,0.17550300999999988,0.202969,1.0,1.0,0.92,0.9775,0.931859075
23127PN0CC,04_yolo26n_edgelite_wiou_progloss,EdgeLite+WIoU/ProgLoss,200,68.5398625,68.06359397275823,69.01613102724177,67.9263285,71.06799469999999,82.60440805999988,98.87974,59.7858289,59.32006762755698,60.25159017244302,59.1966405,62.3095132,74.13220835999992,89.950677,6.339349945,6.304844363214321,6.37385552678568,6.375183,6.6455319500000005,6.93451927,7.547135,0.11941905500000001,0.11799247632908105,0.12084563367091897,0.116901,0.13361664999999995,0.15990386,0.178438,1.0,1.0,0.97916667,0.985,0.9451273350000001
M2012K10C,01_yolo26n_base,Base,200,144.257177705,142.65238342499123,145.86197198500878,141.0406545,162.36817229999994,178.64623145999997,207.728,89.97694006,88.79346258980561,91.1604175301944,88.00142299999999,104.79012714999999,117.77521069999999,122.470539,6.12183348,5.9843516141442885,6.259315345855712,5.781385,7.9113229999999986,9.029590999999998,11.332231,0.33820228,0.3295786213527293,0.34682593864727074,0.325077,0.43341565,0.4728338499999992,0.899307,0.995,0.0,0.95,0.972916665,0.948389125
M2012K10C,02_yolo26n_edgelite,EdgeLite,200,146.38578196499998,144.0983625850632,148.67320134493676,145.151654,160.30252324999998,176.29870183999995,341.409539,89.72317962,88.24891275979276,91.19744648020723,89.5171535,96.74718859999999,103.12992854999993,216.959923,6.321886545,6.177280152305618,6.466492937694381,6.0401925,8.24179655,9.231030539999997,11.405,0.29958426499999996,0.2931586361197828,0.3060098938802171,0.2923075,0.3686467,0.44651123,0.515693,0.995,0.0,0.962166665,0.98875,0.943973475
M2012K10C,03_yolo26n_edgelite_simam,EdgeLite+SimAM,200,151.19960735,148.98653588429994,153.41267881570008,149.8976535,161.06340419999998,215.35332191999981,306.937846,92.337992725,90.9338271555041,93.74215829449591,91.2698845,100.84013105,122.20478137999991,208.784,6.329554265,6.1971834934553724,6.461925036544627,6.219885,7.6656649999999935,9.634960009999991,13.837154,0.27002728499999995,0.26202263787325675,0.27803193212674315,0.264731,0.37241084999999996,0.4358605399999999,0.583385,0.98,0.0,0.9683333350000001,0.995,0.948257355
M2012K10C,04_yolo26n_edgelite_wiou_progloss,EdgeLite+WIoU/ProgLoss,200,155.43653232,153.0072553319975,157.8658093080025,152.39876950000001,163.70670439999995,204.9290779199992,319.421461,94.03011266,92.67761285877837,95.38261246122163,92.927385,98.67546514999998,104.65836776999951,208.350231,6.529541565,6.355320640518627,6.703762489481372,6.337731,7.0017078999999995,9.33538160999996,21.495,0.26433385000000004,0.2587849685917617,0.2698827314082384,0.254962,0.3667080999999999,0.39117477,0.395692,0.97,0.0,0.9704166700000001,0.9883333350000001,0.949080285
