run_id,rank,class_id,class_name,confidence,x1,y1,x2,y2,width,height,area
"c0600f8a-9601-4a9b-8da2-d828fa2c6507",0,1,"brown_eye_spot",0.815431,73.131073,66.841110,527.299011,639.000000,454.167938,572.158875,259856.218750
"88d4197f-b0a6-40b1-a1d3-11dc7eb74043",0,1,"brown_eye_spot",0.974390,177.219894,15.281860,411.254395,636.329346,234.034500,621.047485,145346.531250
"6cea3c1a-f704-4c88-947e-0a0e206180c5",0,3,"miner",0.960661,128.090881,72.534180,589.501343,401.467682,461.410461,328.933502,151773.359375
"6cea3c1a-f704-4c88-947e-0a0e206180c5",1,1,"brown_eye_spot",0.941030,5.316162,426.312927,517.086670,582.527283,511.770508,156.214355,79945.898438
"5b12c7b0-aa9a-4781-9219-4f650479491a",0,4,"phoma",0.962984,75.542816,148.703827,569.215881,520.123230,493.673065,371.419403,183359.750000
"5cb2a691-2667-4391-a41b-9804a6446b99",0,4,"phoma",0.971238,114.474640,174.817078,397.755371,532.593872,283.280731,357.776794,101351.273438
"787b3f37-8c38-482e-93e7-11cad05e9604",0,1,"brown_eye_spot",0.981308,3.212891,231.015350,577.993408,473.838470,574.780518,242.823120,139570.000000
"eca5d1ca-1ea6-425d-a899-81a71e8fa844",0,3,"miner",0.947848,123.190186,62.480682,494.113586,499.847229,370.923401,437.366547,162229.484375
"c6825fed-cae7-491c-8fab-75752d08d66a",0,1,"brown_eye_spot",0.872053,112.405167,177.801895,594.813477,430.500183,482.408325,252.698288,121903.757813
"9349b40d-9a0d-4550-b9f1-fcfa005918d5",0,2,"healthy",0.964346,50.201752,91.788452,579.405212,515.541138,529.203491,423.752686,224251.406250
"366fe214-7f0b-45ee-a953-59e89e2c257e",0,2,"healthy",0.941248,10.706573,6.205261,486.733093,598.013916,476.026520,591.808655,281716.625000
"366fe214-7f0b-45ee-a953-59e89e2c257e",1,2,"healthy",0.286106,0.000000,0.000000,260.681030,394.903107,260.681030,394.903107,102943.750000
"f179faf6-e253-43fd-874b-38bf3baaa085",0,3,"miner",0.971907,145.317017,4.578056,275.648163,206.797607,130.331146,202.219543,26355.505859
