epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,532.191,0.96996,0.85263,0.02065,0.83027,0.80634,0.89561,0.73675,0.73975,0.60957,0.02262,0.0008614,0.0008614,0.0008614
44,542.875,0.94016,0.833,0.02017,0.75137,0.75882,0.84766,0.7154,0.70588,0.74104,0.02133,0.0008581,0.0008581,0.0008581
45,553.406,0.9442,0.85682,0.02002,0.80377,0.7452,0.84432,0.69682,0.73825,0.83649,0.02264,0.0008548,0.0008548,0.0008548
46,564.188,0.92531,0.81526,0.01982,0.81603,0.8165,0.89192,0.768,0.63532,0.59403,0.01907,0.0008515,0.0008515,0.0008515
47,574.882,0.93297,0.78922,0.01962,0.81465,0.78413,0.88323,0.72232,0.77271,0.6688,0.02415,0.0008482,0.0008482,0.0008482
48,586.065,0.94231,0.797,0.01985,0.78808,0.68322,0.80032,0.66059,0.74202,0.89039,0.02256,0.0008449,0.0008449,0.0008449
49,602.574,0.91251,0.78737,0.01939,0.90677,0.84979,0.92795,0.78588,0.67576,0.49525,0.02066,0.0008416,0.0008416,0.0008416
50,616.927,0.8939,0.7684,0.01895,0.88627,0.82035,0.9224,0.77171,0.7116,0.55011,0.02203,0.0008383,0.0008383,0.0008383
51,627.649,0.88389,0.76874,0.01871,0.87397,0.81199,0.91302,0.77365,0.67605,0.58404,0.02082,0.000835,0.000835,0.000835
52,638.36,0.88264,0.75772,0.01886,0.86543,0.763,0.90146,0.7464,0.73055,0.58722,0.0221,0.0008317,0.0008317,0.0008317
53,649.034,0.84628,0.7417,0.01819,0.8465,0.7862,0.90771,0.75814,0.70683,0.647,0.02177,0.0008284,0.0008284,0.0008284
54,659.496,0.87528,0.75436,0.01892,0.77799,0.76147,0.85794,0.68869,0.82535,0.78123,0.02684,0.0008251,0.0008251,0.0008251
55,670.248,0.86965,0.74249,0.01882,0.82743,0.82537,0.90546,0.76745,0.66092,0.60021,0.01994,0.0008218,0.0008218,0.0008218
56,680.74,0.8701,0.72421,0.01886,0.86301,0.82383,0.91432,0.75001,0.75887,0.55344,0.02402,0.0008185,0.0008185,0.0008185
57,691.196,0.84845,0.738,0.01818,0.84493,0.80299,0.89406,0.7715,0.61757,0.58618,0.01828,0.0008152,0.0008152,0.0008152
58,702.655,0.88513,0.7224,0.01936,0.86443,0.86933,0.92967,0.77099,0.72416,0.46573,0.02313,0.0008119,0.0008119,0.0008119
59,719.191,0.86879,0.71727,0.01895,0.85697,0.81829,0.90517,0.76094,0.73625,0.58248,0.02288,0.0008086,0.0008086,0.0008086
60,733.274,0.8537,0.72572,0.01857,0.87647,0.81861,0.92107,0.78225,0.67166,0.52199,0.02018,0.0008053,0.0008053,0.0008053
61,743.948,0.82149,0.68666,0.01806,0.85791,0.80189,0.91444,0.78242,0.64125,0.60626,0.0196,0.000802,0.000802,0.000802
62,754.502,0.82911,0.69025,0.01823,0.88891,0.8183,0.90859,0.76738,0.66948,0.49517,0.02029,0.0007987,0.0007987,0.0007987
63,765.174,0.83539,0.70797,0.01835,0.83513,0.77552,0.89659,0.77314,0.63745,0.69223,0.01926,0.0007954,0.0007954,0.0007954
64,775.785,0.80772,0.68676,0.01772,0.83369,0.80775,0.89016,0.74074,0.74352,0.55219,0.0237,0.0007921,0.0007921,0.0007921
65,786.248,0.81758,0.70782,0.01807,0.8767,0.83781,0.92879,0.78445,0.69855,0.52835,0.02163,0.0007888,0.0007888,0.0007888
66,796.817,0.81472,0.68274,0.01777,0.90161,0.87824,0.94208,0.82989,0.58838,0.42654,0.01761,0.0007855,0.0007855,0.0007855
67,807.308,0.80485,0.66578,0.01803,0.90041,0.852,0.9371,0.80384,0.63621,0.46029,0.01937,0.0007822,0.0007822,0.0007822
68,819.325,0.81376,0.67869,0.01814,0.87799,0.83336,0.9356,0.80485,0.63426,0.50202,0.01974,0.0007789,0.0007789,0.0007789
69,835.773,0.77741,0.6464,0.01728,0.87049,0.82416,0.91334,0.78825,0.60515,0.50916,0.01814,0.0007756,0.0007756,0.0007756
70,849.965,0.77425,0.65692,0.01725,0.89837,0.84877,0.94568,0.79624,0.68705,0.48356,0.02166,0.0007723,0.0007723,0.0007723
71,860.503,0.80884,0.64583,0.01865,0.93121,0.89614,0.95026,0.78171,0.7435,0.40568,0.02366,0.000769,0.000769,0.000769
72,871.221,0.8209,0.64804,0.01898,0.84142,0.85512,0.93227,0.78304,0.71019,0.49866,0.02119,0.0007657,0.0007657,0.0007657
73,881.85,0.76776,0.63631,0.01762,0.86557,0.88815,0.94732,0.8275,0.57896,0.4334,0.01723,0.0007624,0.0007624,0.0007624
74,892.485,0.7508,0.63724,0.01712,0.94071,0.86355,0.96242,0.84377,0.57199,0.37368,0.01715,0.0007591,0.0007591,0.0007591
75,903.167,0.75294,0.64141,0.01719,0.93732,0.85084,0.94283,0.81352,0.62055,0.42329,0.01877,0.0007558,0.0007558,0.0007558
76,913.826,0.77231,0.61838,0.01757,0.86874,0.86115,0.94177,0.79714,0.69104,0.48187,0.02096,0.0007525,0.0007525,0.0007525
77,924.41,0.743,0.63284,0.01708,0.82899,0.82263,0.90665,0.76405,0.68462,0.58924,0.0214,0.0007492,0.0007492,0.0007492
78,936.08,0.73827,0.62343,0.0173,0.84355,0.82759,0.92525,0.8062,0.59015,0.57358,0.01779,0.0007459,0.0007459,0.0007459
79,953.542,0.73193,0.60184,0.01722,0.81872,0.77995,0.86903,0.76097,0.55826,0.60024,0.01685,0.0007426,0.0007426,0.0007426
80,969.175,0.71145,0.60289,0.01672,0.81403,0.81751,0.90255,0.76544,0.66964,0.65161,0.02091,0.0007393,0.0007393,0.0007393
81,979.876,0.72675,0.59496,0.01742,0.87954,0.81108,0.90605,0.78513,0.59334,0.49301,0.01827,0.000736,0.000736,0.000736
82,990.573,0.71492,0.57961,0.01675,0.86473,0.84192,0.94115,0.83338,0.54986,0.46994,0.01651,0.0007327,0.0007327,0.0007327
83,1001.12,0.70704,0.59453,0.01672,0.91898,0.89353,0.95321,0.82703,0.62396,0.37568,0.01939,0.0007294,0.0007294,0.0007294
84,1011.71,0.69273,0.57624,0.01656,0.84748,0.80618,0.88315,0.78251,0.56575,0.57936,0.01688,0.0007261,0.0007261,0.0007261
85,1022.36,0.69014,0.5802,0.01664,0.86513,0.893,0.93764,0.83218,0.53271,0.40421,0.01578,0.0007228,0.0007228,0.0007228
86,1032.98,0.6947,0.57896,0.0169,0.85862,0.85313,0.9439,0.81604,0.6111,0.46559,0.01865,0.0007195,0.0007195,0.0007195
87,1043.51,0.71722,0.59698,0.01761,0.93029,0.88471,0.9609,0.83089,0.62114,0.37447,0.01903,0.0007162,0.0007162,0.0007162
88,1056.04,0.67383,0.57264,0.01649,0.888,0.87146,0.95255,0.83841,0.56642,0.43492,0.01721,0.0007129,0.0007129,0.0007129
89,1072.61,0.66424,0.56031,0.01638,0.91316,0.84927,0.94933,0.82616,0.59775,0.44433,0.01834,0.0007096,0.0007096,0.0007096
90,1085.19,0.65896,0.54743,0.01625,0.86608,0.85116,0.9416,0.84333,0.53108,0.51471,0.01553,0.0007063,0.0007063,0.0007063
91,1095.76,0.65484,0.5654,0.01622,0.88401,0.84646,0.9311,0.81982,0.58578,0.46939,0.01815,0.000703,0.000703,0.000703
92,1106.29,0.67614,0.5779,0.01706,0.94203,0.895,0.96637,0.82324,0.65763,0.35413,0.02077,0.0006997,0.0006997,0.0006997
93,1117.01,0.64582,0.55024,0.01613,0.92034,0.85652,0.95615,0.85065,0.54957,0.40571,0.01676,0.0006964,0.0006964,0.0006964
94,1127.6,0.65847,0.54487,0.01663,0.90192,0.85782,0.94407,0.83171,0.55915,0.41179,0.01704,0.0006931,0.0006931,0.0006931
95,1138.11,0.62928,0.53685,0.01629,0.88233,0.81184,0.93543,0.82977,0.54769,0.48205,0.01636,0.0006898,0.0006898,0.0006898
96,1148.79,0.64558,0.54246,0.01676,0.92666,0.89152,0.96116,0.82795,0.62036,0.37965,0.01933,0.0006865,0.0006865,0.0006865
97,1159.37,0.61734,0.53155,0.01579,0.91903,0.86874,0.94868,0.83722,0.57098,0.42468,0.01712,0.0006832,0.0006832,0.0006832
98,1169.97,0.6245,0.55154,0.01632,0.92246,0.88673,0.94805,0.84225,0.54784,0.3725,0.01659,0.0006799,0.0006799,0.0006799
99,1186.11,0.601,0.54012,0.01551,0.92947,0.90014,0.95723,0.86285,0.50094,0.34204,0.01491,0.0006766,0.0006766,0.0006766
100,1199.88,0.61712,0.53872,0.01619,0.8863,0.8944,0.9508,0.83419,0.56784,0.39697,0.01746,0.0006733,0.0006733,0.0006733
101,1210.56,0.60731,0.5272,0.01614,0.9218,0.87847,0.9589,0.84915,0.5504,0.36452,0.01664,0.00067,0.00067,0.00067
102,1221.3,0.6143,0.52586,0.0166,0.93228,0.88609,0.95477,0.79142,0.73228,0.41388,0.02326,0.0006667,0.0006667,0.0006667
103,1232.11,0.58288,0.51109,0.01546,0.93827,0.84148,0.95427,0.85151,0.54053,0.44673,0.0162,0.0006634,0.0006634,0.0006634
104,1242.63,0.58958,0.53144,0.01571,0.92567,0.90568,0.96087,0.85621,0.54721,0.33433,0.0164,0.0006601,0.0006601,0.0006601
105,1253.14,0.58576,0.50795,0.01594,0.92511,0.90423,0.96062,0.86606,0.50849,0.36832,0.01506,0.0006568,0.0006568,0.0006568
106,1263.76,0.5675,0.50622,0.01534,0.89215,0.89475,0.94899,0.85042,0.5245,0.39704,0.01543,0.0006535,0.0006535,0.0006535
107,1274.37,0.56511,0.50283,0.01536,0.93882,0.87473,0.9631,0.85052,0.54204,0.35064,0.01623,0.0006502,0.0006502,0.0006502
108,1286.34,0.55826,0.51726,0.01542,0.91944,0.8999,0.95864,0.86361,0.51474,0.35839,0.01539,0.0006469,0.0006469,0.0006469
109,1302.94,0.55751,0.50501,0.01504,0.9022,0.85677,0.94557,0.84753,0.533,0.42628,0.01582,0.0006436,0.0006436,0.0006436
110,1317.48,0.55907,0.51585,0.01576,0.93996,0.89483,0.96962,0.86708,0.53475,0.31726,0.01602,0.0006403,0.0006403,0.0006403
111,1328.04,0.55583,0.51402,0.01579,0.85975,0.86227,0.93494,0.8224,0.55798,0.51149,0.01647,0.000637,0.000637,0.000637
112,1338.59,0.55317,0.50842,0.01572,0.90606,0.91302,0.96432,0.85735,0.54727,0.34205,0.01647,0.0006337,0.0006337,0.0006337
113,1349.28,0.52882,0.49176,0.01513,0.95835,0.90304,0.96498,0.86367,0.52516,0.31823,0.01572,0.0006304,0.0006304,0.0006304
114,1360.03,0.53041,0.50654,0.01519,0.91496,0.9116,0.96088,0.83962,0.59147,0.35282,0.01858,0.0006271,0.0006271,0.0006271
115,1370.65,0.53566,0.47325,0.01544,0.87434,0.9123,0.95048,0.8212,0.61459,0.39459,0.01909,0.0006238,0.0006238,0.0006238
116,1381.24,0.53154,0.49167,0.01559,0.91083,0.88506,0.96154,0.85464,0.52948,0.36969,0.01609,0.0006205,0.0006205,0.0006205
117,1391.83,0.51499,0.47642,0.01523,0.95725,0.87162,0.96873,0.87655,0.5159,0.32349,0.01529,0.0006172,0.0006172,0.0006172
118,1403.17,0.52259,0.48848,0.01533,0.9191,0.93047,0.96995,0.88002,0.48911,0.28394,0.01459,0.0006139,0.0006139,0.0006139
119,1419.72,0.50876,0.47228,0.0152,0.95398,0.90773,0.97083,0.86956,0.52962,0.30134,0.01597,0.0006106,0.0006106,0.0006106
120,1434.12,0.51034,0.48925,0.01537,0.91367,0.93881,0.97569,0.8731,0.53397,0.28273,0.01561,0.0006073,0.0006073,0.0006073
121,1444.55,0.51094,0.48672,0.01512,0.93366,0.92932,0.97222,0.88034,0.50438,0.27096,0.01485,0.000604,0.000604,0.000604
122,1455.22,0.50654,0.47606,0.01536,0.95163,0.90041,0.96831,0.87485,0.49555,0.30087,0.01482,0.0006007,0.0006007,0.0006007
123,1465.97,0.50504,0.45691,0.01557,0.9219,0.88988,0.96412,0.8667,0.50173,0.33708,0.01473,0.0005974,0.0005974,0.0005974
124,1476.5,0.48559,0.47714,0.01489,0.94956,0.91473,0.97119,0.88346,0.48054,0.26683,0.01421,0.0005941,0.0005941,0.0005941
125,1487.17,0.47819,0.46406,0.01488,0.86647,0.8815,0.94824,0.86211,0.49535,0.43193,0.01474,0.0005908,0.0005908,0.0005908
126,1497.72,0.46735,0.47778,0.0147,0.90944,0.90722,0.97014,0.86833,0.51851,0.36302,0.01564,0.0005875,0.0005875,0.0005875
127,1508.28,0.47348,0.47706,0.01487,0.92535,0.90036,0.96876,0.86536,0.51736,0.33966,0.01544,0.0005842,0.0005842,0.0005842
128,1519.86,0.49482,0.47975,0.01572,0.87244,0.88032,0.95619,0.85255,0.54078,0.45461,0.01601,0.0005809,0.0005809,0.0005809
